Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,19.31806755065918,18.413055419921875,18.396705627441406,18.66845703125,19.27086639404297
1,3.664989471435547,2.622666835784912,2.645829439163208,2.5891330242156982,3.7351036071777344
2,8.053205490112305,3.758657693862915,3.7714524269104004,3.9616942405700684,7.9791483879089355
3,7.586248397827148,4.8756537437438965,4.963566780090332,4.906566619873047,7.773377418518066
4,6.547394275665283,4.808384895324707,4.785843372344971,4.759531497955322,7.1339569091796875
5,3.7108731269836426,3.3895657062530518,3.3839333057403564,3.475712776184082,3.671905040740967
6,6.87962007522583,6.601137638092041,6.620358467102051,6.57966423034668,6.8897271156311035
7,3.7050375938415527,3.2949676513671875,3.2689476013183594,3.385610580444336,3.802278518676758
8,1.20127534866333,1.065216302871704,1.0603057146072388,1.1060245037078857,1.1492116451263428
9,2.9070961475372314,2.3172967433929443,2.3189754486083984,2.3154237270355225,2.6693358421325684